"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"f_000014-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:54 CDT"	"2253"	"698"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000014-slack"
"f_000015"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:55 CDT"	"53898"	"699"	"2e543709361499d78cea92519691f7b3"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000015"
"f_000015-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:55 CDT"	"3446"	"699"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000015-slack"
"f_000016"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:55 CDT"	"54474"	"700"	"6a247a286c6db7ba303dc2d0634b2b83"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000016"
"f_000016-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:55 CDT"	"2870"	"700"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000016-slack"
"f_000017"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:55 CDT"	"62945"	"701"	"4e99432a53c9f2afbc22c4affa1a157e"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000017"
"f_000017-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:55 CDT"	"2591"	"701"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000017-slack"
"f_000018"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:01:00 CDT"	"28211"	"702"	"0a986f9ba85029d7c3d9086c1743d8ae"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000018"
"f_000018-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:01:00 CDT"	"461"	"702"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000018-slack"
"f_000019"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:01:00 CDT"	"93065"	"703"	"041dcfce66a2d43215abb96b38313ba0"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000019"
